STATE/UT,YEAR,CRIME HEAD,Male 16-18 years,Female 16-18 years,Total 16-18 years,Male 18-30 years,Female 18-30 years,Total 18-30 years,Male 30-50 years,Female 30-50 years,Total 30-50 years,Male Above 50 years,Female Above 50 years,Total Above 50 years,Total Male,Total Female,Grand Total
Manipur,2013,TOTAL IPC,0,0,0,12,0,12,11,2,13,9,0,9,32,2,34
Meghalaya,2013,MURDER,0,0,0,1,0,1,8,0,8,3,0,3,12,0,12
Meghalaya,2013,ATTEMPT TO COMMIT MURDER,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Meghalaya,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
Meghalaya,2013,RAPE,0,0,0,21,0,21,6,0,6,1,0,1,28,0,28
Meghalaya,2013,KIDNAPPING AND ABDUCTION,0,0,0,1,0,1,2,0,2,0,0,0,3,0,3
Meghalaya,2013,DACOITY,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Meghalaya,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2013,ROBBERY,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
Meghalaya,2013,BURGLARY,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
Meghalaya,2013,THEFTS,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
